awardEditionLabel,year,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,tmdbid,bechdeltest_rating,human,genderLabel,humanLabel
95th Academy Awards,2023,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q108314506,The Banshees of Inisherin,http://www.wikidata.org/entity/Q372394,Martin McDonagh,2023-03-12T00:00:00Z,tt11813216,674324,3,http://www.wikidata.org/entity/Q257625,female,Kerry Condon
95th Academy Awards,2023,Academy Award for Best Actor,http://www.wikidata.org/entity/Q108314506,The Banshees of Inisherin,http://www.wikidata.org/entity/Q372394,Martin McDonagh,2023-03-12T00:00:00Z,tt11813216,674324,3,http://www.wikidata.org/entity/Q172035,male,Colin Farrell
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q108314506,The Banshees of Inisherin,http://www.wikidata.org/entity/Q372394,Martin McDonagh,2023-03-12T00:00:00Z,tt11813216,674324,3,http://www.wikidata.org/entity/Q40664045,,Peter Czernin
95th Academy Awards,2023,Academy Award for Best Director,http://www.wikidata.org/entity/Q108314506,The Banshees of Inisherin,http://www.wikidata.org/entity/Q372394,Martin McDonagh,2023-03-12T00:00:00Z,tt11813216,674324,3,http://www.wikidata.org/entity/Q372394,male,Martin McDonagh
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q108649516,Tár,http://www.wikidata.org/entity/Q670296,Todd Field,2023-03-12T00:00:00Z,tt14444726,817758,3,http://www.wikidata.org/entity/Q116458006,,Scott Lambert
95th Academy Awards,2023,Academy Award for Best Actress,http://www.wikidata.org/entity/Q108649516,Tár,http://www.wikidata.org/entity/Q670296,Todd Field,2023-03-12T00:00:00Z,tt14444726,817758,3,http://www.wikidata.org/entity/Q80966,female,Cate Blanchett
95th Academy Awards,2023,Academy Award for Best Director,http://www.wikidata.org/entity/Q108649516,Tár,http://www.wikidata.org/entity/Q670296,Todd Field,2023-03-12T00:00:00Z,tt14444726,817758,3,http://www.wikidata.org/entity/Q670296,male,Todd Field
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q108837349,All Quiet on the Western Front,http://www.wikidata.org/entity/Q1291686,Edward Berger,2023-03-12T00:00:00Z,tt1016150,49046,0,http://www.wikidata.org/entity/Q95281346,male,Malte Grunert
95th Academy Awards,2023,Academy Award for Best Actress,http://www.wikidata.org/entity/Q111399136,To Leslie,http://www.wikidata.org/entity/Q6832915,Michael Morris,2023-03-12T00:00:00Z,tt8129806,823147,,http://www.wikidata.org/entity/Q289545,female,Andrea Riseborough
95th Academy Awards,2023,Academy Award for Best Actor,http://www.wikidata.org/entity/Q111668106,Aftersun,http://www.wikidata.org/entity/Q115803783,Charlotte Wells,2023-03-12T00:00:00Z,tt19770238,965150,,http://www.wikidata.org/entity/Q73367368,male,Paul Mescal
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q83808444,Everything Everywhere All at Once,http://www.wikidata.org/entity/Q28746830,Dan Kwan,2023-03-12T00:00:00Z,tt6710474,545611,3,http://www.wikidata.org/entity/Q115925841,,Jonathan Wang
95th Academy Awards,2023,Academy Award for Best Actress,http://www.wikidata.org/entity/Q83808444,Everything Everywhere All at Once,http://www.wikidata.org/entity/Q28746830,Dan Kwan,2023-03-12T00:00:00Z,tt6710474,545611,3,http://www.wikidata.org/entity/Q214289,female,Michelle Yeoh
95th Academy Awards,2023,Academy Award for Best Director,http://www.wikidata.org/entity/Q83808444,Everything Everywhere All at Once,http://www.wikidata.org/entity/Q28746830,Dan Kwan,2023-03-12T00:00:00Z,tt6710474,545611,3,http://www.wikidata.org/entity/Q28746848,,Daniel Scheinert
95th Academy Awards,2023,Academy Award for Best Actor,http://www.wikidata.org/entity/Q84362533,Elvis,http://www.wikidata.org/entity/Q250545,Baz Luhrmann,2023-03-12T00:00:00Z,tt3704428,614934,1,http://www.wikidata.org/entity/Q469954,male,Austin Butler
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q84362533,Elvis,http://www.wikidata.org/entity/Q250545,Baz Luhrmann,2023-03-12T00:00:00Z,tt3704428,614934,1,http://www.wikidata.org/entity/Q116729835,,Schuyler Weiss
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q97304180,Triangle of Sadness,http://www.wikidata.org/entity/Q211228,Ruben Östlund,2023-03-12T00:00:00Z,tt7322224,497828,3,http://www.wikidata.org/entity/Q84075710,male,Philippe Bober
95th Academy Awards,2023,Academy Award for Best Director,http://www.wikidata.org/entity/Q97304180,Triangle of Sadness,http://www.wikidata.org/entity/Q211228,Ruben Östlund,2023-03-12T00:00:00Z,tt7322224,497828,3,http://www.wikidata.org/entity/Q211228,male,Ruben Östlund
95th Academy Awards,2023,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q105883400,The Whale,http://www.wikidata.org/entity/Q192762,Darren Aronofsky,2023-03-12T00:00:00Z,tt13833688,785084,2,http://www.wikidata.org/entity/Q38195662,female,Hong Chau
95th Academy Awards,2023,Academy Award for Best Actor,http://www.wikidata.org/entity/Q105883400,The Whale,http://www.wikidata.org/entity/Q192762,Darren Aronofsky,2023-03-12T00:00:00Z,tt13833688,785084,2,http://www.wikidata.org/entity/Q193555,male,Brendan Fraser
95th Academy Awards,2023,Academy Award for Best Actor,http://www.wikidata.org/entity/Q107304169,Living,http://www.wikidata.org/entity/Q13035667,Oliver Hermanus,2023-03-12T00:00:00Z,tt9051908,760099,,http://www.wikidata.org/entity/Q207179,male,Bill Nighy
95th Academy Awards,2023,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q107710009,The Fabelmans,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2023-03-12T00:00:00Z,tt14208870,804095,2,http://www.wikidata.org/entity/Q365023,male,Judd Hirsch
95th Academy Awards,2023,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q83808444,Everything Everywhere All at Once,http://www.wikidata.org/entity/Q28746830,Dan Kwan,2023-03-12T00:00:00Z,tt6710474,545611,3,http://www.wikidata.org/entity/Q445017,male,Ke Huy Quan
95th Academy Awards,2023,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q83808444,Everything Everywhere All at Once,http://www.wikidata.org/entity/Q28746830,Dan Kwan,2023-03-12T00:00:00Z,tt6710474,545611,3,http://www.wikidata.org/entity/Q63381497,,Stephanie Hsu
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q3604746,Avatar: The Way of Water,http://www.wikidata.org/entity/Q42574,James Cameron,2023-03-12T00:00:00Z,tt1630029,76600,3,http://www.wikidata.org/entity/Q42574,male,James Cameron
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q31202708,Top Gun: Maverick,http://www.wikidata.org/entity/Q2444076,Joseph Kosinski,2023-03-12T00:00:00Z,tt1745960,361743,3,http://www.wikidata.org/entity/Q5233363,,David Ellison
95th Academy Awards,2023,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q54860489,Black Panther: Wakanda Forever,http://www.wikidata.org/entity/Q7383978,Ryan Coogler,2023-03-12T00:00:00Z,tt9114286,505642,3,http://www.wikidata.org/entity/Q232120,female,Angela Bassett
95th Academy Awards,2023,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q64691760,Causeway,http://www.wikidata.org/entity/Q54326277,Lila Neugebauer,2023-03-12T00:00:00Z,tt10192406,595586,,http://www.wikidata.org/entity/Q26924801,male,Brian Tyree Henry
95th Academy Awards,2023,Academy Award for Best Actress,http://www.wikidata.org/entity/Q66823622,Blonde,http://www.wikidata.org/entity/Q504503,Andrew Dominik,2023-03-12T00:00:00Z,tt1655389,301502,2,http://www.wikidata.org/entity/Q698173,female,Ana de Armas
94th Academy Awards,2022,Academy Award for Best Actress,http://www.wikidata.org/entity/Q73537423,The Eyes of Tammy Faye,http://www.wikidata.org/entity/Q2092899,Michael Showalter,2022-03-27T00:00:00Z,tt9115530,601470,3,http://www.wikidata.org/entity/Q229313,female,Jessica Chastain
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q82430214,Nightmare Alley,http://www.wikidata.org/entity/Q219124,Guillermo del Toro,2022-03-27T00:00:00Z,tt7740496,597208,1,http://www.wikidata.org/entity/Q205707,male,Bradley Cooper
94th Academy Awards,2022,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q84203429,King Richard,http://www.wikidata.org/entity/Q27044648,Reinaldo Marcus Green,2022-03-27T00:00:00Z,tt9620288,614917,3,http://www.wikidata.org/entity/Q461762,female,Aunjanue Ellis-Taylor
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q84203429,King Richard,http://www.wikidata.org/entity/Q27044648,Reinaldo Marcus Green,2022-03-27T00:00:00Z,tt9620288,614917,3,http://www.wikidata.org/entity/Q111384058,,Tim White
94th Academy Awards,2022,Academy Award for Best Actor,http://www.wikidata.org/entity/Q84203429,King Richard,http://www.wikidata.org/entity/Q27044648,Reinaldo Marcus Green,2022-03-27T00:00:00Z,tt9620288,614917,3,http://www.wikidata.org/entity/Q40096,male,Will Smith
94th Academy Awards,2022,Academy Award for Best Actor,http://www.wikidata.org/entity/Q84693711,The Tragedy of Macbeth,http://www.wikidata.org/entity/Q13595311,Joel Coen,2022-03-27T00:00:00Z,tt10095582,591538,,http://www.wikidata.org/entity/Q42101,male,Denzel Washington
94th Academy Awards,2022,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q85323337,The Power of the Dog,http://www.wikidata.org/entity/Q230448,Jane Campion,2022-03-27T00:00:00Z,tt10293406,600583,0,http://www.wikidata.org/entity/Q716251,male,Kodi Smit-McPhee
