awardEditionLabel,year,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,tmdbid,bechdeltest_rating,human,genderLabel,humanLabel
93rd Academy Awards,2021,Academy Award for Best Director,http://www.wikidata.org/entity/Q61740820,Nomadland,http://www.wikidata.org/entity/Q21078321,Chloé Zhao,2021-04-25T00:00:00Z,tt9770150,581734,3,http://www.wikidata.org/entity/Q21078321,,Chloé Zhao
93rd Academy Awards,2021,Academy Award for Best Picture,http://www.wikidata.org/entity/Q61740820,Nomadland,http://www.wikidata.org/entity/Q21078321,Chloé Zhao,2021-04-25T00:00:00Z,tt9770150,581734,3,,,
93rd Academy Awards,2021,Academy Award for Best Actor,http://www.wikidata.org/entity/Q65066669,The Father,http://www.wikidata.org/entity/Q3074245,Florian Zeller,2021-04-25T00:00:00Z,tt10272386,600354,,http://www.wikidata.org/entity/Q65932,male,Anthony Hopkins
93rd Academy Awards,2021,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q65679599,Minari,http://www.wikidata.org/entity/Q6514075,Lee Isaac Chung,2021-04-25T00:00:00Z,tt10633456,615643,3,http://www.wikidata.org/entity/Q491013,female,Youn Yuh-jung
92nd Academy Awards,2020,Academy Award for Best Actor,http://www.wikidata.org/entity/Q42759035,Joker,http://www.wikidata.org/entity/Q362824,Todd Phillips,2020-02-09T00:00:00Z,tt7286456,475557,3,http://www.wikidata.org/entity/Q185140,male,Joaquin Phoenix
92nd Academy Awards,2020,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q47300912,Once Upon a Time in Hollywood,http://www.wikidata.org/entity/Q3772,Quentin Tarantino,2020-02-09T00:00:00Z,tt7131622,466272,3,http://www.wikidata.org/entity/Q35332,male,Brad Pitt
92nd Academy Awards,2020,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q48671199,Marriage Story,http://www.wikidata.org/entity/Q459349,Noah Baumbach,2020-02-09T00:00:00Z,tt7653254,492188,2,http://www.wikidata.org/entity/Q220901,female,Laura Dern
92nd Academy Awards,2020,Academy Award for Best Actress,http://www.wikidata.org/entity/Q55615419,Judy,http://www.wikidata.org/entity/Q7380291,Rupert Goold,2020-02-09T00:00:00Z,tt7549996,491283,3,http://www.wikidata.org/entity/Q122614,female,Renée Zellweger
92nd Academy Awards,2020,Academy Award for Best Director,http://www.wikidata.org/entity/Q61448040,Parasite,http://www.wikidata.org/entity/Q495980,Bong Joon-ho,2020-02-09T00:00:00Z,tt6751668,496243,3,http://www.wikidata.org/entity/Q495980,,Bong Joon-ho
92nd Academy Awards,2020,Academy Award for Best Picture,http://www.wikidata.org/entity/Q61448040,Parasite,http://www.wikidata.org/entity/Q495980,Bong Joon-ho,2020-02-09T00:00:00Z,tt6751668,496243,3,http://www.wikidata.org/entity/Q83945397,,Kwak Sin-ae
91st Academy Awards,2019,Academy Award for Best Actress,http://www.wikidata.org/entity/Q22001133,The Favourite,http://www.wikidata.org/entity/Q975410,Yorgos Lanthimos,2019-02-24T00:00:00Z,tt5083738,375262,3,http://www.wikidata.org/entity/Q7088045,female,Olivia Colman
91st Academy Awards,2019,Academy Award for Best Actor,http://www.wikidata.org/entity/Q27894574,Bohemian Rhapsody,http://www.wikidata.org/entity/Q220751,Bryan Singer,2019-02-24T00:00:00Z,tt1727824,424694,2,http://www.wikidata.org/entity/Q375590,male,Rami Malek
91st Academy Awards,2019,Academy Award for Best Director,http://www.wikidata.org/entity/Q27959455,Roma,http://www.wikidata.org/entity/Q28028,Alfonso Cuarón,2019-02-24T00:00:00Z,tt6155172,426426,3,http://www.wikidata.org/entity/Q28028,male,Alfonso Cuarón
91st Academy Awards,2019,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q38685547,If Beale Street Could Talk,http://www.wikidata.org/entity/Q26821227,Barry Jenkins,2019-02-24T00:00:00Z,tt7125860,465914,3,http://www.wikidata.org/entity/Q234544,female,Regina King
91st Academy Awards,2019,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q48673898,Green Book,http://www.wikidata.org/entity/Q1368300,Peter Farrelly,2019-02-24T00:00:00Z,tt6966692,490132,1,http://www.wikidata.org/entity/Q360531,male,Mahershala Ali
91st Academy Awards,2019,Academy Award for Best Picture,http://www.wikidata.org/entity/Q48673898,Green Book,http://www.wikidata.org/entity/Q1368300,Peter Farrelly,2019-02-24T00:00:00Z,tt6966692,490132,1,,,
90th Academy Awards,2018,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q24053277,"Three Billboards Outside Ebbing, Missouri",http://www.wikidata.org/entity/Q372394,Martin McDonagh,2018-03-04T00:00:00Z,tt5027774,359940,3,http://www.wikidata.org/entity/Q316446,male,Sam Rockwell
90th Academy Awards,2018,Academy Award for Best Actress,http://www.wikidata.org/entity/Q24053277,"Three Billboards Outside Ebbing, Missouri",http://www.wikidata.org/entity/Q372394,Martin McDonagh,2018-03-04T00:00:00Z,tt5027774,359940,3,http://www.wikidata.org/entity/Q204299,female,Frances McDormand
90th Academy Awards,2018,Academy Award for Best Director,http://www.wikidata.org/entity/Q26698156,The Shape of Water,http://www.wikidata.org/entity/Q219124,Guillermo del Toro,2018-03-04T00:00:00Z,tt5580390,399055,3,http://www.wikidata.org/entity/Q219124,male,Guillermo del Toro
