awardEditionLabel,year,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,bechdeltest_rating,human,humanLabel
93rd Academy Awards,2021,Academy Award for Best Picture,http://www.wikidata.org/entity/Q72397975,The Trial of the Chicago 7,http://www.wikidata.org/entity/Q299194,Aaron Sorkin,2021-04-25T00:00:00Z,tt1070874,1,,
93rd Academy Awards,2021,Academy Award for Best Picture,http://www.wikidata.org/entity/Q62595383,Promising Young Woman,http://www.wikidata.org/entity/Q16207879,Emerald Fennell,2021-04-25T00:00:00Z,tt9620292,3,http://www.wikidata.org/entity/Q106152859,Josey McNamara
93rd Academy Awards,2021,Academy Award for Best Picture,http://www.wikidata.org/entity/Q65066669,The Father,http://www.wikidata.org/entity/Q3074245,Florian Zeller,2021-04-25T00:00:00Z,tt10272386,,,
93rd Academy Awards,2021,Academy Award for Best Picture,http://www.wikidata.org/entity/Q65158549,Sound of Metal,http://www.wikidata.org/entity/Q104013227,Darius Marder,2021-04-25T00:00:00Z,tt5363618,1,,
93rd Academy Awards,2021,Academy Award for Best Picture,http://www.wikidata.org/entity/Q65679599,Minari,http://www.wikidata.org/entity/Q6514075,Lee Isaac Chung,2021-04-25T00:00:00Z,tt10633456,3,,
92nd Academy Awards,2020,Academy Award for Best Picture,http://www.wikidata.org/entity/Q29057443,The Irishman,http://www.wikidata.org/entity/Q41148,Martin Scorsese,2020-02-09T00:00:00Z,tt1302006,1,,
92nd Academy Awards,2020,Academy Award for Best Picture,http://www.wikidata.org/entity/Q42759035,Joker,http://www.wikidata.org/entity/Q362824,Todd Phillips,2020-02-09T00:00:00Z,tt7286456,3,http://www.wikidata.org/entity/Q205707,Bradley Cooper
92nd Academy Awards,2020,Academy Award for Best Picture,http://www.wikidata.org/entity/Q47300912,Once Upon a Time in Hollywood,http://www.wikidata.org/entity/Q3772,Quentin Tarantino,2020-02-09T00:00:00Z,tt7131622,3,,
92nd Academy Awards,2020,Academy Award for Best Picture,http://www.wikidata.org/entity/Q48671199,Marriage Story,http://www.wikidata.org/entity/Q459349,Noah Baumbach,2020-02-09T00:00:00Z,tt7653254,2,,
92nd Academy Awards,2020,Academy Award for Best Picture,http://www.wikidata.org/entity/Q54862508,Jojo Rabbit,http://www.wikidata.org/entity/Q2388576,Taika Waititi,2020-02-09T00:00:00Z,tt2584384,3,http://www.wikidata.org/entity/Q2388576,Taika Waititi
92nd Academy Awards,2020,Academy Award for Best Picture,http://www.wikidata.org/entity/Q55081822,Ford v Ferrari,http://www.wikidata.org/entity/Q433893,James Mangold,2020-02-09T00:00:00Z,tt1950186,0,http://www.wikidata.org/entity/Q28536181,Jenno Topping
92nd Academy Awards,2020,Academy Award for Best Picture,http://www.wikidata.org/entity/Q56881140,Little Women,http://www.wikidata.org/entity/Q271967,Greta Gerwig,2020-02-09T00:00:00Z,tt3281548,3,,
92nd Academy Awards,2020,Academy Award for Best Picture,http://www.wikidata.org/entity/Q62721520,1917,http://www.wikidata.org/entity/Q223233,Sam Mendes,2020-02-09T00:00:00Z,tt8579674,0,,
91st Academy Awards,2019,Academy Award for Best Picture,http://www.wikidata.org/entity/Q3286391,A Star Is Born,http://www.wikidata.org/entity/Q205707,Bradley Cooper,2019-02-24T00:00:00Z,tt1517451,3,http://www.wikidata.org/entity/Q205707,Bradley Cooper
91st Academy Awards,2019,Academy Award for Best Picture,http://www.wikidata.org/entity/Q22001133,The Favourite,http://www.wikidata.org/entity/Q975410,Yorgos Lanthimos,2019-02-24T00:00:00Z,tt5083738,3,,
91st Academy Awards,2019,Academy Award for Best Picture,http://www.wikidata.org/entity/Q23780734,Black Panther,http://www.wikidata.org/entity/Q7383978,Ryan Coogler,2019-02-24T00:00:00Z,tt1825683,3,,
91st Academy Awards,2019,Academy Award for Best Picture,http://www.wikidata.org/entity/Q27894574,Bohemian Rhapsody,http://www.wikidata.org/entity/Q220751,Bryan Singer,2019-02-24T00:00:00Z,tt1727824,2,,
91st Academy Awards,2019,Academy Award for Best Picture,http://www.wikidata.org/entity/Q27959455,Roma,http://www.wikidata.org/entity/Q28028,Alfonso Cuarón,2019-02-24T00:00:00Z,tt6155172,3,http://www.wikidata.org/entity/Q61005492,Gabriela Rodriguez
91st Academy Awards,2019,Academy Award for Best Picture,http://www.wikidata.org/entity/Q39075006,Vice,http://www.wikidata.org/entity/Q350405,Adam McKay,2019-02-24T00:00:00Z,tt6266538,2,,
91st Academy Awards,2019,Academy Award for Best Picture,http://www.wikidata.org/entity/Q43370948,BlacKkKlansman,http://www.wikidata.org/entity/Q51566,Spike Lee,2019-02-24T00:00:00Z,tt7349662,3,http://www.wikidata.org/entity/Q51566,Spike Lee
90th Academy Awards,2018,Academy Award for Best Picture,http://www.wikidata.org/entity/Q21935651,Dunkirk,http://www.wikidata.org/entity/Q25191,Christopher Nolan,2018-03-04T00:00:00Z,tt5013056,0,http://www.wikidata.org/entity/Q242951,Emma Thomas
90th Academy Awards,2018,Academy Award for Best Picture,http://www.wikidata.org/entity/Q24053277,"Three Billboards Outside Ebbing, Missouri",http://www.wikidata.org/entity/Q372394,Martin McDonagh,2018-03-04T00:00:00Z,tt5027774,3,http://www.wikidata.org/entity/Q372394,Martin McDonagh
90th Academy Awards,2018,Academy Award for Best Picture,http://www.wikidata.org/entity/Q25136235,Get Out,http://www.wikidata.org/entity/Q3371986,Jordan Peele,2018-03-04T00:00:00Z,tt5052448,3,http://www.wikidata.org/entity/Q13449900,Jason Blum
90th Academy Awards,2018,Academy Award for Best Picture,http://www.wikidata.org/entity/Q25136757,Call Me by Your Name,http://www.wikidata.org/entity/Q1335528,Luca Guadagnino,2018-03-04T00:00:00Z,tt5726616,3,http://www.wikidata.org/entity/Q7177037,Peter Spears
90th Academy Awards,2018,Academy Award for Best Picture,http://www.wikidata.org/entity/Q26698156,The Shape of Water,http://www.wikidata.org/entity/Q219124,Guillermo del Toro,2018-03-04T00:00:00Z,tt5580390,3,http://www.wikidata.org/entity/Q40663946,J. Miles Dale
